beer_nr,description
392,bere cort cu sihastrasii
393,bere dupa untold
394,bere grosu
395,bere summerwell
396,bere tudor sw
396.5,bere film sw
397.5,bere men fatza plansa
398.5,bere helgiu & bobo
399.5,bere bolta rece iasi
400.5,bere din adidasi sandrei
401.5,bere din adidasii sandrei
402.5,bere larry cipriotul
403.5,cosmin ziua lui
404.5,bere hey men
405,bere ziua lui kiki
408,vadim cili con carne bun
409,atelier peroni musai sound
410,bere carlsberg toskana
411,stella python collins
413,stella draft soviet
414,untiold florin piersic
415,desperados sippy overwatch
416,holsten join piezisa
417,bere sippy argus tocanita
418,bere sippy beraria culturala
419,bere sippy beraria culturala
420,bere atelier
421,argus chef sippy aripioare
421.5,argus chef sippy costite
422.5,hardrock budapest
423,hardrock
425,quizz night grosu ciubi
426,chirila eduard bebe
427,chirila eduard bebe klausen
428,beraria culturala
429,beraria culturala neomarxism
430,bere atelier vadim
431,bere atelier vadim aparat aparatura medicala
432,bere vadim after party
433,bunicu atelier
434,varu in londoner
435,varu riviera
436,bere ruben berarie
437,bere atelier archlime
438,bere ateler archlime
439,bere enigma ghimbir
440,shadow peroni
441,ciuc piazzeta pizza vegetariana
442,valca rusu nemteana blonda blend piezisa sunstests
443,0.5 bere cluj arena men atza elastica
443.5,bere marisel vara lu cosmin
444.5,bere arena cosmin larry
445.5,bere cosmin blend
446.5,booha cosmin
447.5,cosmin solas
448.5,piata muzeului
449.5,muzeului potra
450.5,riviera zorilor varu
451.5,riviera varu
452.5,bere grosu ate
453.5,bere grosu ate pt mox
454,bere artizanala arogant
455,bere heineken makeba
455.5,bere heartbreaker
456.5,bere silva sippy scari
457,bere vadim heineken
457.6,bere sica intrare sunsets
458.5,bere booha sedinta mox beard brothers
459.5,bere booha sedinta mox bb
460.5,bere acasa licitatie crowd control
461.5,bere acasa licitatie ipa 60
462.5,bere acasa licitatie men
463.5,bere retro grosu
464,bere licitatie hophead sippy arena
465,bere licitatie f buna zabava de la kutuma
466,bere licitatie f buna zarca de la kutuma
467,bere nemteana licitatie la hasdate
468,bere ursus retro cu daniel hasdate
469,ursus retro cu bebelusii hasdate
470,bere retro cu grosu
471,bere retro cu grosu atelier
472,bere stela intalnire 10 ani
473,bere intalnire 10 ani becks
474,bere intalnire 10 ani stelak
475,bere stella 10 ani stela
476,bere stella 10 ani intalnirq
476.5,bere bergenbier ale la dulau
477,dulau
478,bere sippy arena
478.5,bere ziua lui sica sihastrie
479,bere florian
481,bere la foc mox pizza pe vatra
482,bere la foc cu chirila
483,bere foisor mox pe ploaie
484,bere larry wcuri
485,bere larry wcuri
486,bere larry wcuri
487,bere larry & kooho
488,bere larry foisor
489,bere after mox
490,bere after mox
491,bere ec dragos vadim
492,bere ziua lui larry
493,bere ziua lui larry cu men
494,bere ziua lui larry luna
495,stella ziua lui larry
496,csikisor nunta lui dulau
497,csikisor nunta dulau
498,ursus retro maria
499,bere colegi caro
500,bere colegi car
501.5,bere men cheguevara
502.5,bere old friends ziua mela si cristian
503.5,bere old friends ziua mea si cristian holstsn nefiltratA
504.5,bere old friends  ziua mela si cristian
505.5,bere ciuc doza
506.5,bere ciuc doza foc
507,bere barcelona
507.5,bere barcelona moritz
508.5,tio pio barcelona men
509.5,bere cu men in hardrock
510,bere cu men la hardrock
511,bere cu men pe arca barça
512,bere cu men pe arca barça
513,bere vadim la lucru
514,bere sippy malul somesului
514.5,bere gratis in atelier
515,bere gratis in atelier
516,bere romica
517,bere romica
518,bere hoegarden helgiu
519,bere stella booha
519.5,booha grosu helgu
520.5,bere gazzets grosu sica
521.5,bere topy afterwork
522.5,bere topy afterwork
523,bere topy afterwork
523.5,bere topy afterwork
524.5,bere eugen toskan
525.5,bere eugen toskana
523.5,bere terapia gold londoner
524.5,bere heineken ziua lui cosmin
525.5,bere tuborg men sclifoprintzi
526,bere tuborg men calduta
527,bere weihenstephaner sedinta mox
530,beri cu voluntarii mox cand m-am oprit din mox
531,bere fabrica de lideri
531.5,bere urania score
532.5,bere vadim
533.5,bere schofferhofer men in koln
534.5,bere peter kolsh im krug koln
535,bere kolsh men koln
535.5,bere kolsh men koln
536.5,bere emil cata booha
537.5,bere vadim @exposed
538,bere vadim @exposed
538.5,bere carciuna din sat
539,bere corona mircea
539.5,bere heinken la sere
540,bere heineken la sere
542,beri booha csikisor
543,ber booha
544,bere becks sippy
545,bere csikisor
546,nemteana ziua lui rotariu
547,valentins la hostel cu tudor
547.5,bere nuenarkt ziua lui tudor
548.5,bere jamaga sanzo pancho
549.5,bere retro atelier helgiu
550.5,bere nemteana helgiu moonshine
551.5,bere timi nepa
552.5,bere timi nepa helgiu grosu atelier
553,bere heineken
553.5,heineken polivalenta
554,poli
555,edelweiss
556,edlelweiss sica
557,tuborg ziua lui vadim la munca
558,hoslten ziua lu men
560,beri ziua lu potra cheguevara
562,beri cu grosu si helgiu in scheguevara
564,beri cu grosu helgiu scheguevara
565,bere sedinta mox
566,bere sipi beraria culturala
567,bere form cafe
568,bere form cafe
568.5,bere form.cafe
569.5,bere sippy cluj arena
570.5,bere men lisboa
571.5,bere men  caparica sagres + cristal
572.5,bere exposeddigital tb
573.5,bere bunicu helgiu dupa lisboa
574.5,bere bunicu helgiu dupa lisboa
575.5,bere bunicu helgiu dupa lisboa
576.5,bere grosu ziua lui
577.5,bere grosu ziua lui
578.5,bere grosu ziua lui
579.5,bere tata 30 ani
580,berw ziua mea la.gabi sipos
581,bere ziua mea hasdate ursus retro
582,bere becks de ziua mea hasdate
583,bere becks de ziua mea  hasdate
584,bere florian vineri mox
585,bere florian vineri mox
586,bere florian vineri mox8
587,bere florian pe masina
587.5,bere florian pe masina
588.5,bere larry ziua lui
589,bere larry ziua lui
589.5,bere larry ziua lui
590,ziua lu larry
590.5,ziua larry
591.5,bere zum zum zum electroclown
592.5,bere zum zum electro
594.5,bere carlsberg si holsten cotton grigo
595.5,bere carlsberg cotton
596.5,bere holsten ziua delean
597.5,bere holsten delean
598.5,bere bunicu taiat lemne
599.5,bere mela acasa
600.5,bere summerwell vlad
601,bere buc
601.5,bere grosu
603.5,bere grosu smida
604.5,bere grosu smida si bianu
605.5,bere bianu smida
607.5,bere durusa
608.5,bere de bulevard
609.5,bere de bulevard
610.5,bere ursus retro
611.5,bere staro bistrita jelna
612.5,bere carlsberg old friends
613.5,bere holsten wiezen old friends
614.5,bere silva booha
615.5,bere ciucas hasdate lemne
616.6,bere becks hasdate lemne
617,bere ipa romi
618,bere romi suceava
619,bere romi calimani
620,bere hoegarden booha
621,bere hoegarden booha
621.5,bere blanc cotton
622.5,bere holsten cotton
623.5,bere atelier
624,bere la lucru
626,bere euforia mela si cosmin
626.5,bere madrid
627,bere ionel spania
628,bere cucu cheguevara
629,bere cucu cheguevara
630,bere larry booha
631,bere sippy la mine
632,bere florian toskana
633,bere florian toskana
634,bere retro bunicu helgiu rotariu
636,bere larry mela booha
637,bere stella booha (daca a ajuns acolo unde trebuia acolo a fost - sica / cand ai futut ai dat chitanta - bunicu)
637.5,bere nelu becks
638.5,bere stejar grosu atelier
639.5,ber estejar grosu atelier
641.5,bere grosu
642.5,bere efes atelier verii
643.5,bere indigen klausenburger
644.5,bere red revolution
645,bere islandeza covid
645.5,bere red revolution
646,bere heineken grosu
647,bere nemteana grosu concubinaj
648,bere madri grosu concubinaj
648.5,bere san miguel grosu
649.5,bere azuga grosu
650.5,bere ursus black grosu
651.5,stella cabana sibiu
652,ciuc cabana sibiu
652.5,bere heineken sibiu
653,birra morreti sibiu
653.5,bere ziua mea verii
654.5,bere ziua mea suceava
655.5,bere suceava ziua mea
656.5,bere holsten wizen cotton
657.5,bere bucur draught cotton
658.5,bere 1664 draught cotton
659.5,draught staropramen ziua lui delean
660.5,bere gara bari
661.5,peroni cruda bari
662.5,peroni coloseum
663.5,bere cosmin vidraru
664,bere zipfer cosmin
664.5,bere poppels romi
665.5,bere clusa pe vidraru
666.5,bere weizen klausen mudure
667.5,bere klausen mudure
668,bere heineken grosu sibiu
668.5,bere heineken grosu sibiu
669,bere grosu sibiu
669.5,bere vidraru liviutzu
670.5,bere geno ziua lui vadim
671,bere grosu bachelora acasa
672,bere stella grosu
673,bere stella grosu
674,bere stella grosu
675,bere stella grosu
676,bere red revolution
676.5,bere ziua alpar
677,bere pasti mirciocu
677.5,bere dupa mici acass
678.5,bere karlovacho epetum
679.5,bere ozujsko men faleza
680,bere sorana absolvire
680.5,bere sorana absolvire
681,cata finutu bere  rehebot
681.5,bere zipfer grosu acasa
682.5,bere staropramen ziua sica
682.5,bere becks ziua lui sica
683.5,bere  csikisor
684.5,stella
685.5,bere edelweiss finutu ziua mea
686.5,bere birra moreti finutu ziua mea 33
687,bere barcelona
688,bere tata ziua mea
689,bere cucu bunuso acasa
689.5,bericica men dupa steak
690.5,clusa razvan klausen
691,bere clusa razvan klausen
692,bere clusa mudure fest klausen
693,bere weistefan maja vizita marc
694.5,bere kozel 0.66 mirciocu
695.5,bere paulaner baie marc
696,bere heineken livia vizita marc
696.5,grolsch pentalog 5 decembrie
697,bere heineken dupa big belly burger
697.5,bere peroni draught epoca bella
698,bere capri acasa
699,bere timisoreana hasdate
700,bere calsberg ipa acasa
702,bere ursus 1L mudure fest
703,bere ursus azuga nefiltrata
704,peroni draught
704.5,duvel acasa dupa chili
705.5,azuga nefiltrata beergarden
706,duvell acasa men cu paste
707,stella artois acasa cartofi prajiti
708,stella artois acasa la america express
709,skoll acasa
710,blanc draft mudute
711,blanc draft
712,heineken draft form
713,heineken draft
714,efes draft acasa
715,edelweis pastor foem
716,nemteana acasa
717,bere praha acasa
718,bere lasagna acasa kozel dark
719,bere paulaner a mudure klausen
720,bere staropramen acasa costite
721,bere kosel acasa costite
722,guiness costite acasa
722.5,kosel lasagna
723,kosel castite
723,5 duvel de pasti
724,turia vale
724.5,voll damm vale
725,bere vallle cruzcampo
725.5,bere estrella galicia valle
726.5,bere altura de vuelo valle
727,bere galana cu piersicuta valle
727.5,bere duvel triple hop ipa
728.5,bere  bernard sebi
729,kozel acasa cios lotr 2
729.5,stella acasa zm burrito
730.5,edelweiss ziua lu grosu
731.5,edelweis ziua lui grosu
732,edelweiss ziua lui grosu
733,bere capri ziua mea
733.5,bere duvell ziua mea
734,bere 1664 ziua mea
735,duvel + 1664 mirciocu
736,paulaner weissbier
737,paulaner klausen ziua mea
738,paulaner la. draft
739,heineken silver dorin
740,skoll acasa
740.5,morreti ziua men duminica
741,bere birra moretti duminica ziua men
742,birra. morreti acasa
743.5,bere estrella barcelona
744,bere estrella barcelona
745,bere cu lamaie barce
746.5,bere estrella si asahi dupa sushi
747,bere estrella barce
747.5,bere asahi
748,bere 1664 flori varu
749,bere kozel finutu
750,bere nunta lu varu
751,bere carnival nenea iancu pizza acasa
751.5,birra morreti sali di mare
752,bere heineken ziua mea cazare
753,bere albacher hasdate ziua mea
754,bere perlenbacher hasdate ziua mea
755,bere kozel ziua mea hasdate
755.5,praga acas ajocurile olimpice
756.5,bere fabrica de bere mudure
757,bere staropramen praid
758,weistephan
758.5,bere peroni praid
759.5,bere nemteana
760,bere asahi acasa OA
761,bere kozel. mamaliga cu carnat
762,bere kozel. fabriva de berr
762.5,bere estrella bcn acasa
